Name,Company,Description,Linkedin 
Giovanni Strocchi,Blacksheep Ventures,"Giovanni Strocchi is a seasoned digital innovation expert and venture partner with over 25 years of experience in digital innovation, big data services, communication, sales, and marketing. He is a senior angel investor and a member of the Italian Angel Association Screening Board1. Giovanni is the former CEO of ADmantX, which he led to become a leading data provider in contextual advertising and brand safety, until its acquisition by Integral AdScience (IAS) backed by Vista Equity Fund.",https://www.linkedin.com/in/gstrocchi/?originalSubdomain=it
Mergim Cahani,Gjirafa,"Mergim Cahani is the Founder and CEO of Gjirafa Inc – Gjirafa is one of the fastest-growing tech companies in Central Europe (Deloitte Fast 50 2021 in CE position #11), with a mission to build the Internet economy in the Balkan region. Gjirafa’s ecosystem of services encompasses e-commerce, video streaming, online marketing, cloud computing, and entertainment production, and it is one of the most well-funded tech startups in Europe. Previously, in New York, Mergim worked for Broadridge Financial Solutions (NYSE:BR), an Adjunct Assistant Professor at St. John’s University, and an executive management consulting program at Morgan Stanley (NYSE:MS). Regionally, Mergim was teaching at various universities, was the President of the Board of Governors at the American Chamber of Commerce in Kosovo, a board member of ATOM Institute and GAP Institute, an advisory board member of several startups, accelerators, and funds. His education includes a BS and MS degree in Computer Science, and an MBA in Management, from St. John’s University and New York University.",https://www.linkedin.com/in/cahani/
Oleksandr Yaroshenko,Headway,"Oleksandr Yaroshenko is the Head of Strategy and Investments at Headway, an EdTech company that develops microlearning products helping over 120M+ private and corporate users in 170 countries achieve self-development goals. Oleksandr has 7+ years of experience in С-suite consulting, business and strategy development, investor relations, and advising startup portfolios. At Headway, he is responsible for fundraising, maintaining investor relationships, and creating business development strategies. In 2020, when Oleksandr first met Anton Pavlosky, Headway's Founder and CEO, Headway was a 15-person startup. Later, Oleksandr helped bootstrap its growth into the globally renowned company with more than 350 people on board, over 120 million users, and offices in Madrid, Warsaw, Kyiv, and Nicosia, demonstrating over 100% y-o-y revenue increase through the years. Beyond Headway, among Oleksandr's other most significant achievements are raising over $20 million in a financing round for another Ukrainian-founded startup and running the buy & sell sides of the M&A transactions as well as their due diligence parts. He has also joined the expert council to help compile the Incredible Tech catalog (Investors Guide) developed by the IT Ukraine Association and the Ministry of Digital Transformation of Ukraine. Submit a HIG",https://www.linkedin.com/in/oyaroshenko/
Igor Strecko,Webglobe,"Igor is one of the founders of the company Webglobe with over 20 years of experience in the Central European web hosting market. In 1999, Igor founded his first web hosting company. In 2014, he made his first acquisition: a competitor named Yegon. In 2019, he returned to Slovakia with the ambition to elevate internet services in the region to a new level.",https://www.linkedin.com/in/strecko/
Jakub Krajcovic,Sandberg Capital,"Jakub has lived on three continents and almost 10 years Down Under. His first career was in IT and it took him from on adventures in Hollywood movies through to PwC in Sydney. After finishing his MBA and returning to Slovakia, he found his calling in investing and developing small and medium-sized companies. At Sandberg he is actively developing our IT portfolio and in his free time he dabbles in management education. He likes to relax while scuba diving or reading and enjoys travelling the world with his family.",https://www.linkedin.com/in/jakubkrajcovic/
Marek Zamecnik,Vestberry,"Marek Zamecnik is CEO and co-founder of Vestberry - portfolio management and reporting software for VC & PE. The software offers automation of workflow, reporting, communication with LPs and provides advanced analytics to make better investment decisions. Before establishing Vestberry, Marek previously worked in Kuala Lumpur in the investment company called Nova Founders Capital where he was responsible for the development of the portfolio companies, namely Private Equity Insights.",https://www.linkedin.com/in/marek-zamecnik/
Kristina Moncekova,Zero One Hundred,"Kristina handles operations and community at Zero One Hundred. She's eager to support relationship-building within the organization and ensures everything runs smoothly. Having recently finished her studies in Economy and Law in Bratislava, she is excited to focus on helping Zero One Hundred in its mission.",https://www.linkedin.com/in/krist%C3%ADna-mon%C4%8Dekov%C3%A1-769022171/
Adam Durica,Zero One Hundred,"Adam is an investment manager responsible for the investment process and portfolio management. Previously, he gained experience at FSG (Financial Association), at Ardal (Debt & Liquidity Agency), and at Erste Group. He holds economics degrees from Erasmus University Rotterdam (MSc.) and from University of Groningen (BSc.).",https://www.linkedin.com/in/adamdurica/
Michal Csonga,Zero One Hundred,"Michal has acquired his 360 tech market experience across Asia and the West while managing global corporate teams, co-launching and operating early-stage companies, coordinating NGO projects and boards, and investing in startups. 
After his return to fast-developing Eastern Europe, Michal focuses on strengthening the innovation ecosystems and venture capital investment activities. As General Partner, Michal leads the VC activities under Zero One Hundred group, which invests in and supports the best founders of Europe and the Middle East.",https://www.linkedin.com/in/michalcsonga/
Luise Gruner,Axel Springer Digital Ventures,"Luise rejoined Axel Springer in 2021 and holds the position as Managing Director of Axel Springer Digital Ventures, the companies’ corporate venture capital arm. ASDV has an investment focus on direct investments in media related business models as well as investments in accelerators und funds.",https://www.linkedin.com/in/luise-gruner/?originalSubdomain=de
